Id,class_label
1,International
2,Vocal
3,Latin
4,Blues
5,Vocal
6,Jazz
7,Folk
8,Folk
9,RnB
10,Pop_Rock
11,Latin
12,Latin
13,New_Age
14,Vocal
15,Rap
16,Reggae
17,Rap
18,Jazz
19,Rap
20,Jazz
21,Latin
22,Vocal
23,Latin
24,International
25,Reggae
26,Vocal
27,Rap
28,Latin
29,New_Age
30,New_Age
31,Jazz
32,Electronic
33,Latin
34,Pop_Rock
35,New_Age
36,Pop_Rock
37,Blues
38,Vocal
39,Folk
40,Vocal
41,International
42,Blues
43,Latin
44,Reggae
45,Jazz
46,Latin
47,Vocal
48,Jazz
49,Pop_Rock
50,Jazz
51,Jazz
52,Blues
53,Electronic
54,Electronic
55,Electronic
56,Jazz
57,New_Age
58,Rap
59,Blues
60,RnB
61,Country
62,Jazz
63,International
64,New_Age
65,Electronic
66,Pop_Rock
67,RnB
68,Country
69,New_Age
70,Vocal
71,Folk
72,Vocal
73,Vocal
74,Pop_Rock
75,New_Age
76,New_Age
77,New_Age
78,Latin
79,New_Age
80,Electronic
81,Electronic
82,Folk
83,Folk
84,Reggae
85,Country
86,Country
87,Latin
88,Latin
89,New_Age
90,Vocal
91,RnB
92,Blues
93,Blues
94,Blues
95,Reggae
96,Pop_Rock
97,Rap
98,Folk
99,Reggae
100,Country
101,Jazz
102,International
103,Folk
104,Blues
105,Blues
106,Rap
107,Country
108,New_Age
109,Latin
110,New_Age
111,Folk
112,Rap
113,Folk
114,Pop_Rock
115,Electronic
116,Country
117,Folk
118,Reggae
119,Country
120,Rap
121,Reggae
122,Vocal
123,Reggae
124,Electronic
125,International
126,Reggae
127,Rap
128,New_Age
129,Vocal
130,Vocal
131,Reggae
132,Vocal
133,Pop_Rock
134,Reggae
135,Latin
136,New_Age
137,Rap
138,Pop_Rock
139,International
140,Vocal
141,Electronic
142,International
143,Latin
144,Latin
145,Jazz
146,Folk
147,Blues
148,Latin
149,RnB
150,Reggae
151,Folk
152,Rap
153,New_Age
154,RnB
155,Country
156,Reggae
157,Folk
158,Rap
159,New_Age
160,Country
161,New_Age
162,Latin
163,Jazz
164,Blues
165,Jazz
166,International
167,Latin
168,Folk
169,Folk
170,Reggae
171,Latin
172,Reggae
173,Latin
174,Vocal
175,Folk
176,Jazz
177,Electronic
178,Pop_Rock
179,Pop_Rock
180,International
181,Country
182,Reggae
183,Blues
184,Reggae
185,Jazz
186,International
187,Jazz
188,Rap
189,Jazz
190,Electronic
191,Folk
192,Reggae
193,Jazz
194,Country
195,Rap
196,Reggae
197,International
198,RnB
199,Folk
200,International
201,Pop_Rock
202,Reggae
203,Blues
204,Latin
205,Reggae
206,Blues
207,Folk
208,Vocal
209,RnB
210,Latin
211,Folk
212,Folk
213,International
214,Rap
215,Country
216,Electronic
217,Vocal
218,International
219,Electronic
220,International
221,Folk
222,Reggae
223,New_Age
224,Folk
225,Reggae
226,Folk
227,Blues
228,International
229,Rap
230,Folk
231,Folk
232,Reggae
233,New_Age
234,Vocal
235,RnB
236,Electronic
237,Blues
238,Pop_Rock
239,Jazz
240,Blues
241,Vocal
242,Jazz
243,Electronic
244,RnB
245,Blues
246,Vocal
247,Blues
248,RnB
249,Folk
250,Rap
251,Vocal
252,Country
253,New_Age
254,Folk
255,Rap
256,Pop_Rock
257,Reggae
258,RnB
259,Pop_Rock
260,Reggae
261,Vocal
262,Folk
263,Pop_Rock
264,Pop_Rock
265,Electronic
266,RnB
267,Folk
268,International
269,Country
270,Vocal
271,Pop_Rock
272,Reggae
273,International
274,Latin
275,Country
276,International
277,Country
278,Jazz
279,Jazz
280,Vocal
281,Reggae
282,Jazz
283,Pop_Rock
284,Pop_Rock
285,Blues
286,Country
287,International
288,Country
289,Electronic
290,Latin
291,Country
292,Reggae
293,RnB
294,Electronic
295,RnB
296,Reggae
297,Vocal
298,Blues
299,Reggae
300,Reggae
301,Pop_Rock
302,Blues
303,Reggae
304,Rap
305,Electronic
306,Jazz
307,RnB
308,Jazz
309,Pop_Rock
310,Reggae
311,New_Age
312,New_Age
313,Jazz
314,New_Age
315,Latin
316,International
317,Country
318,RnB
319,RnB
320,Latin
321,New_Age
322,Reggae
323,Reggae
324,Electronic
325,Electronic
326,Electronic
327,Jazz
328,Jazz
329,Vocal
330,Reggae
331,New_Age
332,Electronic
333,Rap
334,RnB
335,New_Age
336,Rap
337,Jazz
338,Electronic
339,Electronic
340,RnB
341,Reggae
342,Country
343,Vocal
344,Pop_Rock
345,Folk
346,Blues
347,Vocal
348,Blues
349,Pop_Rock
350,Electronic
351,Electronic
352,New_Age
353,Folk
354,International
355,Rap
356,International
357,Folk
358,Electronic
359,New_Age
360,New_Age
361,Folk
362,Vocal
363,RnB
364,Reggae
365,Blues
366,RnB
367,Latin
368,Electronic
369,RnB
370,Electronic
