Date,Time,Brightness (LUX)
02/25/2017,08:04:18.146,7
02/25/2017,09:53:17.169,179
02/25/2017,09:53:17.689,354
02/25/2017,09:53:18.209,133
02/25/2017,09:53:18.655,129
02/25/2017,09:53:19.162,129
02/25/2017,09:53:19.678,160
02/25/2017,09:53:20.176,308
02/25/2017,09:53:20.692,435
02/25/2017,09:53:21.158,528
02/25/2017,09:53:21.674,440
02/25/2017,09:53:22.176,358
02/25/2017,09:53:22.681,453
02/25/2017,09:53:23.174,353
02/25/2017,09:53:23.660,371
02/25/2017,09:53:24.218,339
02/25/2017,09:53:24.683,365
02/25/2017,09:53:25.204,535
02/25/2017,09:53:25.683,532
02/25/2017,09:53:26.184,416
02/25/2017,09:53:26.686,459
02/25/2017,09:53:27.186,472
02/25/2017,09:53:27.685,479
02/25/2017,09:53:28.186,594
02/25/2017,09:53:28.693,765
02/25/2017,09:53:29.193,606
02/25/2017,09:53:29.721,649
02/25/2017,09:53:30.207,528
02/25/2017,09:53:30.700,599
02/25/2017,09:53:31.198,212
02/25/2017,09:53:31.709,327
02/25/2017,09:53:32.211,517
02/25/2017,09:53:32.681,620
02/25/2017,09:53:33.175,430
02/25/2017,09:53:33.687,361
02/25/2017,09:53:34.218,339
02/25/2017,09:53:34.715,172
02/25/2017,09:53:35.165,249
02/25/2017,09:53:35.667,221
02/25/2017,09:53:36.211,230
02/25/2017,09:53:36.672,195
02/25/2017,09:53:37.201,178
02/25/2017,09:53:37.692,214
02/25/2017,09:53:38.191,221
02/25/2017,09:53:38.674,238
02/25/2017,09:53:39.172,560
02/25/2017,09:53:39.666,758
02/25/2017,09:53:40.267,677
02/25/2017,09:53:40.690,129
02/25/2017,09:53:41.191,106
02/25/2017,09:53:41.700,126
02/25/2017,09:53:42.186,112
02/25/2017,09:53:42.669,119
02/25/2017,09:53:43.179,124
02/25/2017,09:53:43.664,123
02/25/2017,09:53:44.178,123
02/25/2017,09:53:44.669,126
02/25/2017,09:53:45.173,140
02/25/2017,09:53:45.696,131
02/25/2017,09:53:46.174,128
02/25/2017,09:53:46.665,126
02/25/2017,09:53:47.166,134
02/25/2017,09:53:47.704,135
02/25/2017,09:53:48.208,130
02/25/2017,09:53:48.671,141
02/25/2017,09:53:49.179,130
02/25/2017,09:53:49.681,131
02/25/2017,09:53:50.175,129
02/25/2017,09:53:50.673,152
02/25/2017,09:53:56.105,126
02/25/2017,09:53:56.624,202
02/25/2017,09:53:57.126,228
02/25/2017,09:53:57.637,227
02/25/2017,09:53:58.131,210
02/25/2017,09:53:58.635,115
02/25/2017,09:53:59.130,134
02/25/2017,09:53:59.643,131
02/25/2017,09:54:00.145,121
02/25/2017,09:54:00.650,122
02/25/2017,09:54:01.130,114
02/25/2017,09:54:01.643,268
02/25/2017,09:54:02.135,299
02/25/2017,09:54:02.632,187
02/25/2017,09:54:03.128,174
02/25/2017,09:54:03.636,156
02/25/2017,09:54:04.137,142
02/25/2017,09:54:04.645,117
02/25/2017,09:54:05.158,99
02/25/2017,09:54:05.642,103
02/25/2017,09:54:06.149,259
02/25/2017,09:54:06.649,133
02/25/2017,09:54:07.146,113
02/25/2017,09:54:07.615,166
02/25/2017,09:54:08.162,469
02/25/2017,09:54:08.630,341
02/25/2017,09:54:09.168,299
02/25/2017,09:54:09.650,159
02/25/2017,09:54:10.153,196
02/25/2017,09:54:10.604,193
02/25/2017,09:54:11.156,151
02/25/2017,09:54:11.658,172
02/25/2017,09:54:12.154,219
02/25/2017,09:54:12.656,358
02/25/2017,09:54:13.145,111
02/25/2017,09:54:13.658,98
02/25/2017,09:54:14.160,109
