Date,Time,Temperature (Celsius)
02/25/2017,08:04:18.031,0.0
02/25/2017,09:53:17.829,27.27
02/25/2017,09:53:28.541,29.19
02/25/2017,09:53:56.898,29.19
02/25/2017,09:53:58.696,29.63
02/25/2017,09:54:28.801,29.93
02/25/2017,09:55:44.535,30.0
02/25/2017,09:55:59.050,30.06
02/25/2017,09:56:29.120,30.26
02/25/2017,09:56:59.215,30.34
02/25/2017,09:57:29.307,30.45
02/25/2017,09:57:59.385,30.62
02/25/2017,09:58:29.467,30.76
02/25/2017,09:58:59.535,30.82
02/25/2017,09:59:29.653,30.86
02/25/2017,09:59:59.696,30.93
02/25/2017,10:00:29.809,30.97
02/25/2017,10:00:59.855,31.06
02/25/2017,10:01:29.965,31.14
02/25/2017,10:02:00.026,31.21
02/25/2017,10:02:30.143,31.21
02/25/2017,10:03:00.190,31.25
02/25/2017,10:03:30.304,31.38
02/25/2017,10:04:00.400,31.49
02/25/2017,10:04:30.477,31.58
02/25/2017,10:05:00.585,31.58
02/25/2017,10:05:30.629,31.61
02/25/2017,10:06:00.675,31.62
02/25/2017,10:06:30.771,31.71
02/25/2017,10:07:00.844,31.84
02/25/2017,10:07:30.941,31.91
02/25/2017,10:08:01.043,31.89
02/25/2017,10:08:31.134,31.91
02/25/2017,10:09:01.190,31.91
02/25/2017,10:09:31.254,31.92
02/25/2017,10:10:01.376,31.91
02/25/2017,10:10:31.454,31.89
02/25/2017,10:11:01.516,31.86
02/25/2017,10:11:31.597,31.84
02/25/2017,10:12:01.680,31.87
02/25/2017,10:12:31.751,31.89
02/25/2017,10:13:01.867,31.86
02/25/2017,10:13:31.957,31.83
02/25/2017,10:14:02.003,31.86
02/25/2017,10:14:32.115,31.84
02/25/2017,10:15:02.170,31.84
02/25/2017,10:15:32.279,31.85
02/25/2017,10:16:02.361,31.85
02/25/2017,10:16:32.435,31.86
02/25/2017,10:17:02.503,31.86
02/25/2017,10:17:32.570,31.86
02/25/2017,10:18:02.701,31.86
02/25/2017,10:18:32.774,31.89
02/25/2017,10:19:02.858,31.9
02/25/2017,10:19:32.934,31.91
02/25/2017,10:20:02.977,31.89
02/25/2017,10:20:33.070,31.89
02/25/2017,10:21:03.191,31.92
02/25/2017,10:21:33.250,31.95
02/25/2017,10:22:03.346,31.97
02/25/2017,10:22:33.409,31.97
02/25/2017,10:23:03.513,31.96
02/25/2017,10:23:33.572,32.0
02/25/2017,10:24:03.697,31.97
02/25/2017,10:24:33.762,31.96
02/25/2017,10:25:03.827,31.99
02/25/2017,10:25:33.886,31.97
02/25/2017,10:26:03.989,31.97
02/25/2017,10:26:34.099,31.97
02/25/2017,10:27:04.159,31.97
02/25/2017,10:27:34.247,32.0
02/25/2017,10:28:04.308,32.02
02/25/2017,10:28:34.398,32.0
02/25/2017,10:29:04.493,31.99
02/25/2017,10:29:34.602,32.0
02/25/2017,10:30:04.624,32.06
02/25/2017,10:30:34.750,32.06
02/25/2017,10:31:04.828,32.03
02/25/2017,10:31:34.897,32.0
02/25/2017,10:32:04.979,32.04
02/25/2017,10:32:35.045,32.08
02/25/2017,10:33:05.175,32.08
02/25/2017,10:33:35.260,32.09
02/25/2017,10:34:05.329,32.02
02/25/2017,10:34:35.389,32.06
02/25/2017,10:35:05.477,32.1
02/25/2017,10:35:35.534,32.08
02/25/2017,10:36:05.645,32.06
02/25/2017,10:36:35.720,32.08
02/25/2017,10:37:05.819,32.15
02/25/2017,10:37:35.899,32.13
02/25/2017,10:38:05.978,32.13
02/25/2017,10:38:36.076,32.14
02/25/2017,10:39:06.110,32.15
02/25/2017,10:39:36.219,32.15
02/25/2017,10:40:06.291,32.15
02/25/2017,10:40:36.410,32.13
02/25/2017,10:41:06.485,32.17
02/25/2017,10:41:36.539,32.17
02/25/2017,10:42:06.625,32.19
02/25/2017,10:42:36.678,32.18
02/25/2017,10:43:06.803,32.22
